,Close,BollingerB_10,Bollingerb_10,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,Trix_15,KST_10_15_20_30_10_10_10_15,low_bol_diff,hig_bol_diff,y
339,0.25,0.3530066664888981,0.10299333351110171,0.05470685403475006,0.04218213036817123,0.012524723666578835,0.06449986086341286,248.6653976742212,0.1470066664888983,0.10300666648889811,1
340,0.29,0.3565488147597027,0.1294511852402972,0.05634960572181952,0.04501562543890089,0.011333980282918626,0.06515178815392197,269.53933251131394,0.16054881475970278,0.0665488147597027,0
341,0.28,0.36105656024895183,0.14294343975104792,0.056196780340217356,0.04725185641916419,0.008944923921053165,0.06472408663127295,278.19635005517364,0.1370565602489521,0.0810565602489518,0
342,0.28,0.3618629433108774,0.16013705668912237,0.05543662620545503,0.04888881037642236,0.006547815829032667,0.06341302988660708,286.43670093236653,0.11986294331087766,0.0818629433108774,0
343,0.28,0.35793937305515244,0.18206062694484737,0.05420930742516564,0.04995290978617103,0.004256397638994609,0.061424068366026964,296.8992740317818,0.09793937305515266,0.07793937305515242,0
344,0.28,0.3466264248155502,0.2113735751844495,0.05262996299701653,0.05048832042834014,0.00214164256867639,0.0589468617486194,304.1924229118872,0.06862642481555054,0.0666264248155502,0
345,0.28,0.34227139568909853,0.22572860431090117,0.0507928132257085,0.05054921898781381,0.0002435942378946898,0.05614375065921953,304.40645799960646,0.05427139568909886,0.06227139568909851,0
346,0.28,0.3422713956890985,0.2257286043109011,0.048774615390914766,0.05019429826843401,-0.0014196828775192433,0.05314666941309652,301.06493753177017,0.05427139568909892,0.06227139568909845,0
347,0.28,0.2994757558155443,0.2525242441844554,0.046637570188259536,0.049482952652399124,-0.0028453824641395883,0.0500587106682753,292.3507674912844,0.027475755815544622,0.019475755815544282,0
348,0.27,0.29818699810942645,0.25581300189057327,0.043634043944719036,0.04831317091086311,-0.004679126966144073,0.046831182954081195,288.32842830999783,0.014186998109426752,0.02818699810942643,0
349,0.25,0.29818699810942645,0.25581300189057327,0.03918815821038424,0.046488168370767344,-0.007300010160383105,0.04334696180029374,281.89038434496734,-0.005813001890573266,0.04818699810942645,0
350,0.25,0.2980333111406905,0.24796668885930925,0.035258325703878185,0.044242199837389515,-0.00898387413351133,0.03981460767903047,268.02334173845105,0.0020333111406907467,0.04803331114069048,0
351,0.22,0.30815013163202865,0.22584986836797116,0.029384430427230462,0.04127064595535771,-0.011886215528127249,0.0360294598343939,248.09794491305422,-0.005849868367971162,0.08815013163202864,1
352,0.24,0.30625634186002165,0.21974365813997815,0.026042952014729365,0.03822510716723204,-0.012182155152502677,0.03245050989424156,224.44010801311205,0.020256341860021843,0.06625634186002166,1
353,0.2,0.3117646212197542,0.19823537878024558,0.019937315628703184,0.03456754885952627,-0.01463023323082309,0.028702711066350323,205.06082647593576,0.0017646212197544309,0.11176462121975417,1
354,0.22,0.30669652406244974,0.19130347593755015,0.016521933096872082,0.030958425706995436,-0.014436492610123353,0.025202905690561345,199.4972394764638,0.028696524062449852,0.08669652406244974,1
355,0.23,0.29832413009990183,0.18967586990009805,0.014455500251740028,0.027657840615944354,-0.013202340364204326,0.02208385191405684,181.94510915064922,0.04032413009990196,0.06832413009990182,1
356,0.24,0.288074017006186,0.19192598299381386,0.013469485911516116,0.024820169675058706,-0.01135068376354259,0.01940806055707847,165.32472485658073,0.04807401700618613,0.04807401700618602,1
357,0.24,0.2751010087963065,0.19689899120369336,0.01254346913884477,0.022364829567815922,-0.009821360428971151,0.017099492810077322,149.20617206434372,0.04310100879630663,0.03510100879630651,1
358,0.27,0.2751010087963065,0.19689899120369336,0.014068174298272756,0.02070549851390729,-0.0066373242156345345,0.015377865523571486,135.5659715630906,0.07310100879630665,0.005101008796306483,1
359,0.26,0.2781501316320286,0.19584986836797125,0.01430470199528086,0.019425339210182007,-0.005120637214901146,0.013983404417190573,121.52154948841365,0.06415013163202876,0.01815013163202861,1
360,0.25,0.2781501316320286,0.19584986836797125,0.013529278373332981,0.018246127042812203,-0.004716848669479221,0.012742451315905925,107.0927502175091,0.05415013163202875,0.02815013163202862,1
361,0.26,0.28257990967869984,0.19942009032129995,0.013565293730799677,0.0173099603804097,-0.0037446666496100227,0.011721002773495408,94.14433751909641,0.060579909678700056,0.022579909678699828,1
362,0.28,0.2933045891539642,0.19669541084603548,0.015034362244702087,0.016854840753268176,-0.001820478508566089,0.01103994678952891,81.35371138110183,0.08330458915396455,0.013304589153964153,1
363,0.29,0.2984222166638865,0.20957778333611318,0.01681173088385929,0.0168462187793864,-3.448789552711051e-05,0.010672068046264265,70.73211876319343,0.0804222166638868,0.00842221666388654,1
364,0.29,0.30363540521418453,0.21836459478581502,0.0180126694942091,0.01707950892235094,0.0009331605718581604,0.010498091543454973,60.62442189734064,0.07163540521418496,0.013635405214184548,1
365,0.29,0.3070555170287987,0.2269444829712009,0.01874830322603055,0.017413267783086862,0.001335035442943687,0.010432300224994952,50.1238807717995,0.06305551702879908,0.017055517028798706,1
366,0.29,0.3094759181934797,0.2345240818065199,0.019110998563200865,0.017752813939109664,0.0013581846240912007,0.010414313924557564,48.17348394640267,0.05547591819348008,0.019475918193479713,1
367,0.32,0.3210960933531257,0.2389039066468739,0.02157053481239929,0.01851635811376759,0.0030541766986317,0.010654552326730958,48.28028085319957,0.08109609335312612,0.0010960933531257155,1
368,0.32,0.33237556801183893,0.2376244319881607,0.0232517038416869,0.019463427259351452,0.0037882765823354474,0.011022310903241442,46.24268067559939,0.08237556801183932,0.012375568011838922,1
